["教育程度", "type"]	["哪种类型是entity的毕业学校？"]
["artist", "magazine"]	["哪个杂志是发布entity的艺人发表在哪？"]
["next", "writer"]	["谁写过entity的一CLPM届奖项？","谁是entity的一CLPM届奖项的作者？"]
["father", "succession"]	["谁是entity的父亲的继承人？"]
["deputy", "honorificSuffix"]	["entity的代理人的敬语后缀是什么？"]
["office", "candidate"]	["谁是entity担任的要职的候选人？"]
["title", "predecessor"]	["谁是entity的标题的前身？"]
["birthPlace", "sovereigntyType"]	["什么是entity的出生地的主权类型？"]
["successor", "as"]	["entity的一CLPM代产品相当于什么？"]
["leader", "honorificPrefix"]	["entity的领导人的荣誉称号是什么？"]
["before", "almaMater"]	["entity的前任从哪里毕业？"]
["educate", "nickname"]	["entity的昵称是什么？"]
["educate", "athletics"]	["entity属于哪个协会？"]
["currentclub", "league"]	["哪个联盟entity属于哪个？"]
["before", "associatedActs"]	["谁与entity的前任相关联？"]
["頻道", "iptvServ"]	["放映entity的频道推广什么样的IPTV服务？"]
["district", "leaderParty"]	["什么是entity所在的区域的领导方？"]
["city", "seat"]	["发现entity的所在城市的地方是什么？"]
["before", "honorificPrefix"]	["entity的前任的荣誉称号是什么？"]
["相關團體", "magazine"]	["哪个杂志是entity的相关团体发表在哪？"]
["headquarters", "timezoneDst"]	["entity的总部地址属于哪个时区？"]
["platform", "media"]	["什么是entity的运行平台的媒体？"]
["platform", "predecessor"]	["谁是entity的运行平台的前身？"]
["referee", "before"]	["谁是entity的裁判员的上一任？"]
["primeminister", "placeOfBirth"]	["entity的首相出生在哪里？"]
["areas", "subdivisionType"]	["entity的行政级别是什么？"]
["studio", "location"]	["制作entity的工作室在哪里？"]
["moreUsers", "aircraftTransport"]	["什么是使用entity的国家的飞机运输？"]
["state", "seallink"]	["什么是entity所在的州的密封链接？"]
["moreUsers", "caption"]	["使用entity的国家的标识是什么？"]
["alongside", "candidate"]	["谁是P与entityA同时在任的政客的候选人？"]
["consecratedBy", "honorificSuffix"]	["entity的的敬语后缀是什么？"]
["state", "grass"]	["什么样的草原产于entity所在的州？"]
["workplaces", "provost"]	["谁是entity的工作地点的教务长？"]
["predecessor", "governor"]	["谁是entity的前代产品的现任州长？"]
["title", "youthWing"]	["entity的标题的青年翼是什么？"]
["ground", "settlementType"]	["entity的地址属于哪个地区？"]
["經紀公司", "satServ"]	["什么是entity的经济公司的母公司？"]
["alongside", "almaMater"]	["P与entityA同时在任的政客从哪里毕业？"]
["league", "logo"]	["entity的标识是什么？"]
["district", "settlementType"]	["entity所在的区域属于哪个地区？"]
["allegiance", "demonym"]	["我们称之为entity的人是谁？"]
["allegiance", "leaderName"]	["谁是entity的领导者？"]
["title", "affiliations"]	["entity的标题隶属于什么机构？"]
["influenced", "developer"]	["谁开发受到entity影响的人？","谁是受到entity影响的人的开发者？"]
["title", "executiveProducer"]	["谁是entity的标题的执行制片人？"]
["genre", "influenced"]	["谁影响了entity的类型？"]
["subdivisionName", "currency"]	["entity的货币是什么？"]
["residence", "subdivisionType"]	["entity的居住地的行政级别是什么？"]
["areas", "mammal"]	["entity中濒临灭绝的哺乳动物是什么？"]
["company", "keyPeople"]	["谁是entity的运营公司的首席执行官？"]
["locationCountry", "officialReligion"]	["哪一项是entity所在的国家第一修正案的宗教条款中规定的受宪法保护的权利？"]
["studio", "cableServ"]	["哪个公司制作entity的工作室属于？"]
["areas", "legislature"]	["什么是entity的立法机关？"]
["place", "southeast"]	["哪个城市位于entity的地址的东南部？"]
["停靠", "operator"]	["哪个公司entity属于？"]
["notableCommanders", "almaMater"]	["entity的著名指挥官从哪里毕业？"]
["主君", "spouse"]	["谁是entity效力的君主的配偶？"]
["region", "dialects"]	["entity所在的行政区的方言是什么？"]
["时代", "southeast"]	["哪个城市位于entity哪个时代的东南部？"]
["workInstitutions", "logo"]	["entity的工作机构的标识是什么？"]
["studio", "iptvServ"]	["制作entity的工作室推广什么样的IPTV服务？"]
["occupation", "leaderTitle"]	["entity的职业在哪里作为leaderTitle？"]
["influenced", "knownFor"]	["什么是受到entity影响的人知道的？"]
["party", "leaderName"]	["谁是entity所属的党派的领导者？"]
["venue", "location"]	["entity的举办场地在哪里？"]
["family", "family"]	["谁是entity所属的家族的家人？","谁是entity所属的家族的父亲？"]
["种族", "languages"]	["谁使用entity的种族的区域语言？"]
["after", "placeOfBirth"]	["entity的出生在哪里？"]
["residence", "governingBody"]	["entity的居住地的管理机构是什么？"]
["director", "birthPlace"]	["entity的导演出生在哪里？"]
["現任成員", "currentMembers"]	["谁是entity的现任成员的现任乐队领队？"]
["starring", "executiveProducer"]	["谁是参演entity的演员的执行制片人？"]
["label", "origin"]	["entity的标签的起源是什么？"]
["province", "p"]	["如何用汉语拼音拼写entity？","entity的中文拼音是什么？"]
["music", "religion"]	["entity的配乐作者的宗教是什么？"]
["deathPlace", "timezoneDst"]	["entity逝世的地方属于哪个时区？"]
["placeOfDeath", "currency"]	["entity的逝世地址的货币是什么？"]
["city", "governingBody"]	["entity的所在城市的管理机构是什么？"]
["birthPlace", "officialLanguages"]	["entity的出生地的官方语言是什么？"]
["place", "areaCodeType"]	["entity的地址有哪些类型的区号？"]
["place", "reptile"]	["什么是entity的地址的官方国家爬行动物？"]
["place", "amphibian"]	["什么是IUCN脆弱的物种？青蛙？在entity的地址？"]
["monarch", "religion"]	["entity的宗教是什么？"]
["birthPlace", "upperHouse"]	["什么是entity的出生地的上议院？"]
["after", "founder"]	["谁是entity的的创始人？","谁创立了entity的？"]
["nationalteam", "establishedEvent"]	["什么时候entity创建既定事件？"]
["state", "upperhouse"]	["我们用什么名字来称呼entity所在的州的上院？"]
["genusAuthority", "notableStudents"]	["谁是entity的属PRU（生物PRU（）的命名者最着名的学生？"]
["platforms", "type"]	["哪种类型是entity的发布平台？"]
["播放地區", "postalCodeType"]	["entity使用什么类型的邮政编码？"]
["distributor", "satServ"]	["什么是entity的发行商的母公司？"]
["經紀公司", "iptvServ"]	["entity的经济公司推广什么样的IPTV服务？"]
["occupation", "founder"]	["谁是entity的职业的创始人？","谁创立了entity的职业？"]
["after", "associatedActs"]	["谁与entity的相关联？"]
["author", "title"]	["什么是entity的原著作者的名字？"]
["artist", "education"]	["发布entity的艺人毕业的地方？","发布entity的艺人从哪个学校毕业？"]
["occupation", "location"]	["entity的职业在哪里？"]
["beforeElection", "children"]	["entity一CLPM任领导人孩子的名字是什么？"]
["locationCity", "establishedTitle"]	["哪个法律","行为使entity的所在地成立？"]
["series", "voices"]	["谁是entity中的配音演员？"]
["mother", "before"]	["谁是entity的母亲的上一任？"]
["alongside", "before"]	["谁是P与entityA同时在任的政客的上一任？"]
["occupation", "leader"]	["谁是entity的职业的领导者？"]
["primeminister", "as"]	["entity的首相相当于什么？"]
["leader", "nationality"]	["entity的领导人的国籍是什么？"]
["locationCountry", "callingCode"]	["什么是entity所在的国家中的调用代码？"]
["artist", "spouse"]	["谁是发布entity的艺人的配偶？"]
["birthPlace", "officialReligion"]	["哪一项是entity的出生地第一修正案的宗教条款中规定的受宪法保护的权利？"]
["place", "insect"]	["什么样的昆虫是entity的地址特有的？"]
["referee", "placeOfBirth"]	["entity的裁判员出生在哪里？"]
["placeOfBirth", "settlementType"]	["entity的出生地属于哪个地区？"]
["stadium", "areaCodeType"]	["举办entity的体育场有哪些类型的区号？"]
["artist", "honorificSuffix"]	["发布entity的艺人的敬语后缀是什么？"]
["電視網", "industry"]	["播放entity的电视台所属的产业类型是什么？"]
["播放地區", "governmentType"]	["entity政府类型是什么？"]
["代表作", "developer"]	["谁开发entity的代表作品？","谁是entity的代表作品的开发者？"]
["music", "writer"]	["谁写过entity的配乐作者？","谁是entity的配乐作者的作者？"]
["使用平台", "supportedPlatforms"]	["entity的使用平台支持哪些平台？"]
["champion", "affiliation"]	["谁隶属于entity的总冠军？"]
["lyrics", "occupation"]	["entity的从事的职业是什么？","entity的的工作是什么？"]
["title", "house"]	["entity的标题有什么样的立法机构？"]
["states", "largestmetro"]	["使用entity的地区最大的地铁在哪里？"]
["states", "soil"]	["使用entity的地区的州土壤是什么？"]
["president", "parents"]	["谁养育了entity效力的总统？","谁把entity效力的总统抚养长大？","谁是entity效力的总统的父母？"]
["state", "motto"]	["什么是entity所在的州的座右铭？"]
["genre", "supportedPlatforms"]	["entity的类型支持哪些平台？"]
["usedBy", "aircraftTransport"]	["什么是entity的使用者的飞机运输？"]
["alongside", "successor"]	["谁是P与entityA同时在任的政客的继承人？"]
["author", "services"]	["什么包含在entity的原著作者的服务中？"]
["alongside", "birthPlace"]	["P与entityA同时在任的政客出生在哪里？"]
["origin", "insect"]	["什么样的昆虫是entity的发源地特有的？"]
["alongside", "governor"]	["谁是P与entityA同时在任的政客的现任州长？"]
["workplaces", "type"]	["哪种类型是entity的工作地点？"]
["areas", "lowerhouse"]	["我们用什么名字打电话给entity的下院？"]
["location", "mayor"]	["谁是entity的位置的市长？"]
["before", "notableStudents"]	["谁是entity的前任最着名的学生？"]
["monarch", "succession"]	["谁是entity的继承人？"]
["state", "lowerhouse"]	["我们用什么名字打电话给entity所在的州的下院？"]
["managerclubs", "homeStadium"]	["什么是entity执教的俱乐部的主场？"]
["precededBy", "updatemodel"]	["entity的一CLPM部作品更新模型的名称是什么？"]
["locationCity", "nickname"]	["entity的所在地的昵称是什么？"]
["電視台", "subsid"]	["播放entity的电视台子公司的名称是什么？"]
["founder", "leaderName"]	["谁是entity的创始人的领导者？"]
["fam", "children"]	["entity的孩子的名字是什么？"]
["beforeElection", "deputy"]	["谁是entity一CLPM任领导人的部长？"]
["genre", "dialects"]	["entity的类型的方言是什么？"]
["areas", "areaCodeType"]	["entity有哪些类型的区号？"]
["所在", "ethnicGroups"]	["entity所在的城市属于哪个民族？"]
["spouse", "party"]	["entity的配偶属于哪一方？"]
["主君", "before"]	["谁是entity效力的君主的上一任？"]
["awards", "caption"]	["entity获得的奖项的标识是什么？"]
["series", "manufacturer"]	["什么是entity的制造商？","谁制作了entity？"]
["residence", "subdivisionName"]	["entity的居住地的细分名称是什么？"]
["company", "subsid"]	["entity的运营公司子公司的名称是什么？"]
["company", "divisions"]	["哪个唱片公司的entity的运营公司拥有？"]
["episodeList", "title"]	["什么是entity的节目列表的名字？"]
["placeOfBirth", "fish"]	["什么是entity的出生地中的州鱼？"]
["associatedActs", "before"]	["谁是entity的相关艺人的上一任？"]
["before", "connectivity"]	["entity的前任的连接性是什么？"]
